file,paper_support,release_limitation
bounded_kriging_metrics.csv,bounded non-decision kriging aggregate,cannot reverse the central abstention
bounded_kriging_paired_evidence.csv,bounded non-decision kriging aggregate,cannot reverse the central abstention
bounded_kriging_summary.json,bounded non-decision kriging aggregate,cannot reverse the central abstention
cohort_reconciliation.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
contact_balanced_sensitivity.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
contact_policy_validation.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
contact_window_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
covariance_threshold_sensitivity.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
decision_hierarchy.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
depth_rl_associations.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
distance_conditioned_performance.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
domain_weathering_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
extended_geological_contrast.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
geological_contrast_preservation.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
hierarchy_paired_evidence.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
implemented_model_specification.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
independent_synthetic_evaluation.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
label_perturbation_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
leave_one_batch_out_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
mass_conservation.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
pair_sampling_fragility_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
pair_sampling_fragility_summary.json,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
pair_universe_score_sensitivity.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
paired_primary_scheme_evidence.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
positive_control_design.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
positive_control_policy_selection.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
positive_control_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
post_analysis_effect_intervals.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
post_primary_paired_evidence.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
post_primary_validation_metrics.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
public_geology_group_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
qaqc_aggregate_report_facts.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
quadratic_spatial_baseline_paired_evidence.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
quadratic_spatial_design_overall.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
residual_distribution_by_lithology.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
residual_distribution_summary.json,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
spatial_baseline_paired_evidence.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
spatial_robustness_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
synthetic_sensitivity_summary.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
validation_metrics.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
variogram_gate_decision.json,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
version_flag_exclusion_paired_evidence.csv,aggregate numerical evidence,"no rows, coordinates, or direct identifiers"
