stratum,variable,rows,holes,spearman_rho,spearman_p,causal_interpretation_permitted
all,MIDPOINT,3542,100,-0.1991850278770273,5.078880441833802e-33,False
all,mid_rl,3542,100,0.14433645783656143,6.01060603799419e-18,False
all,depth_within_hole_m,3542,100,-0.1332395033760161,1.6868611021377698e-15,False
all,hole_mean_depth_m,3542,100,-0.17136487020680422,9.502174154237856e-25,False
lithology=ambiguous,MIDPOINT,186,32,-0.08361986933754746,0.25649116547097917,False
lithology=ambiguous,mid_rl,186,32,0.1388305974336723,0.0587854172302086,False
lithology=ambiguous,depth_within_hole_m,186,32,0.047170158794100095,0.5226053962785753,False
lithology=ambiguous,hole_mean_depth_m,186,32,-0.3613938895381667,4.023003817085219e-07,False
lithology=graphitic_schist,MIDPOINT,3046,98,-0.18420157418221886,1.185365702146042e-24,False
lithology=graphitic_schist,mid_rl,3046,98,0.1052731993261343,5.749249270966017e-09,False
lithology=graphitic_schist,depth_within_hole_m,3046,98,-0.1120967421733123,5.514889284246725e-10,False
lithology=graphitic_schist,hole_mean_depth_m,3046,98,-0.1584134886900769,1.4313549441870376e-18,False
lithology=other,MIDPOINT,273,57,-0.3666492770121232,4.125086486056852e-10,False
lithology=other,mid_rl,273,57,0.37917406011354854,9.183489358641528e-11,False
lithology=other,depth_within_hole_m,273,57,-0.3922166293127141,1.7923203100097742e-11,False
lithology=other,hole_mean_depth_m,273,57,-0.15864802842314507,0.008641534518756702,False
lithology=qfr,MIDPOINT,37,17,-0.5105157357571967,0.0012450785139839582,False
lithology=qfr,mid_rl,37,17,0.3159090857292031,0.056813092038598176,False
lithology=qfr,depth_within_hole_m,37,17,-0.34287838338265525,0.037754525612772864,False
lithology=qfr,hole_mean_depth_m,37,17,-0.18342180023013635,0.2771830625928045,False
