model,scheme,distance_bin_m,holes,mae,median_distance_m,rows,failure_rate,rank_within_bin
coordinate_trend,leave_one_hole_out,0-50,18.0,2.01117039176445,42.456354907019936,601,0.0,7.0
coordinate_trend,leave_one_hole_out,50-100,22.0,1.6563796584916348,79.50255338829449,791,0.0,3.0
coordinate_trend,leave_one_hole_out,100-200,52.0,1.8823891807550726,129.00585732775315,1908,0.0,6.0
coordinate_trend,leave_one_hole_out,200-400,6.0,1.999173842675092,227.37928551441155,167,0.0,6.0
coordinate_trend,leave_one_hole_out,>400,2.0,1.274319943287518,509.03996582622756,75,0.0,1.0
coordinate_trend,northing_block_buffered,100-200,27.0,1.890601861528592,175.09998197908425,907,0.0,6.0
coordinate_trend,northing_block_buffered,200-400,47.0,1.9123545624395317,291.32762900128535,1693,0.0,5.0
coordinate_trend,northing_block_buffered,>400,26.0,1.825917856986897,592.6641993364844,942,0.0,5.0
diagnostic_regression_kriging,leave_one_hole_out,0-50,18.0,1.6746366998448607,42.456354907019936,601,0.019966722129783676,1.0
diagnostic_regression_kriging,leave_one_hole_out,50-100,22.0,1.6591795502713906,79.50255338829449,791,0.03792667509481673,4.0
diagnostic_regression_kriging,leave_one_hole_out,100-200,36.0,1.8694870626866846,124.04435438416459,1908,0.399895178197065,5.0
diagnostic_regression_kriging,leave_one_hole_out,200-400,,,,167,1.0,
diagnostic_regression_kriging,leave_one_hole_out,>400,,,,75,1.0,
diagnostic_regression_kriging,northing_block_buffered,100-200,22.0,1.8683973944095669,175.09998197908425,907,0.25909592061742004,4.0
diagnostic_regression_kriging,northing_block_buffered,200-400,17.0,2.133062954826824,291.92396469199684,1693,0.574719432959244,8.0
diagnostic_regression_kriging,northing_block_buffered,>400,7.0,1.9653366762442575,499.0700188455964,942,0.7377919320594479,8.0
geology_only,leave_one_hole_out,0-50,18.0,1.863894424755241,42.456354907019936,601,0.0,4.0
geology_only,leave_one_hole_out,50-100,22.0,1.66662044973306,79.50255338829449,791,0.0,6.0
geology_only,leave_one_hole_out,100-200,52.0,1.7766683426766148,129.00585732775315,1908,0.0,1.0
geology_only,leave_one_hole_out,200-400,6.0,1.7491905409213189,227.37928551441155,167,0.0,2.0
geology_only,leave_one_hole_out,>400,2.0,1.3322379015428913,509.03996582622756,75,0.0,5.0
geology_only,northing_block_buffered,100-200,27.0,1.8681646888493748,175.09998197908425,907,0.0,3.0
geology_only,northing_block_buffered,200-400,47.0,1.7915294695468449,291.32762900128535,1693,0.0,1.0
geology_only,northing_block_buffered,>400,26.0,1.6833521645964733,592.6641993364844,942,0.0,1.0
global_mean,leave_one_hole_out,0-50,18.0,2.17734499410136,42.456354907019936,601,0.0,8.0
global_mean,leave_one_hole_out,50-100,22.0,1.6958637989949745,79.50255338829449,791,0.0,8.0
global_mean,leave_one_hole_out,100-200,52.0,1.91041528359755,129.00585732775315,1908,0.0,8.0
global_mean,leave_one_hole_out,200-400,6.0,1.9576990141789645,227.37928551441155,167,0.0,5.0
global_mean,leave_one_hole_out,>400,2.0,1.3180889159583864,509.03996582622756,75,0.0,3.0
global_mean,northing_block_buffered,100-200,27.0,1.9716494615260411,175.09998197908425,907,0.0,8.0
global_mean,northing_block_buffered,200-400,47.0,1.9317294548020862,291.32762900128535,1693,0.0,6.0
global_mean,northing_block_buffered,>400,26.0,1.8323008532920468,592.6641993364844,942,0.0,6.0
idw,leave_one_hole_out,0-50,18.0,1.7508460427989572,42.456354907019936,601,0.0,2.0
idw,leave_one_hole_out,50-100,22.0,1.6202385703577098,79.50255338829449,791,0.0,1.0
idw,leave_one_hole_out,100-200,52.0,1.8986466607587158,129.00585732775315,1908,0.0,7.0
idw,leave_one_hole_out,200-400,6.0,2.1616243509158353,227.37928551441155,167,0.0,7.0
idw,leave_one_hole_out,>400,2.0,1.276302215669015,509.03996582622756,75,0.0,2.0
idw,northing_block_buffered,100-200,27.0,1.8889129034703955,175.09998197908425,907,0.0,5.0
idw,northing_block_buffered,200-400,47.0,1.9556424524862241,291.32762900128535,1693,0.0,7.0
idw,northing_block_buffered,>400,26.0,1.8334375087285208,592.6641993364844,942,0.0,7.0
lithology_only,leave_one_hole_out,0-50,18.0,1.979055011724631,42.456354907019936,601,0.0,6.0
lithology_only,leave_one_hole_out,50-100,22.0,1.6750059050980468,79.50255338829449,791,0.0,7.0
lithology_only,leave_one_hole_out,100-200,52.0,1.812377643942536,129.00585732775315,1908,0.0,4.0
lithology_only,leave_one_hole_out,200-400,6.0,1.838125886549219,227.37928551441155,167,0.0,3.0
lithology_only,leave_one_hole_out,>400,2.0,1.3270862067941496,509.03996582622756,75,0.0,4.0
lithology_only,northing_block_buffered,100-200,27.0,1.9134087564793898,175.09998197908425,907,0.0,7.0
lithology_only,northing_block_buffered,200-400,47.0,1.8130505238422858,291.32762900128535,1693,0.0,3.0
lithology_only,northing_block_buffered,>400,26.0,1.749958666572651,592.6641993364844,942,0.0,4.0
lithology_spatial,leave_one_hole_out,0-50,18.0,1.8758420487162668,42.456354907019936,601,0.0,5.0
lithology_spatial,leave_one_hole_out,50-100,22.0,1.6447671478562433,79.50255338829449,791,0.0,2.0
lithology_spatial,leave_one_hole_out,100-200,52.0,1.7944118509954488,129.00585732775315,1908,0.0,3.0
lithology_spatial,leave_one_hole_out,200-400,6.0,1.8708284369579964,227.37928551441155,167,0.0,4.0
lithology_spatial,leave_one_hole_out,>400,2.0,1.388436247844143,509.03996582622756,75,0.0,6.0
lithology_spatial,northing_block_buffered,100-200,27.0,1.8580169917103282,175.09998197908425,907,0.0,2.0
lithology_spatial,northing_block_buffered,200-400,47.0,1.8082775893071328,291.32762900128535,1693,0.0,2.0
lithology_spatial,northing_block_buffered,>400,26.0,1.7337759124388619,592.6641993364844,942,0.0,2.0
partial_pooling,leave_one_hole_out,0-50,18.0,1.819444678622075,42.456354907019936,601,0.0,3.0
partial_pooling,leave_one_hole_out,50-100,22.0,1.6644019987999186,79.50255338829449,791,0.0,5.0
partial_pooling,leave_one_hole_out,100-200,52.0,1.7913866420932947,129.00585732775315,1908,0.0,2.0
partial_pooling,leave_one_hole_out,200-400,6.0,1.6559017080763894,227.37928551441155,167,0.0,1.0
partial_pooling,leave_one_hole_out,>400,2.0,1.452065004515123,509.03996582622756,75,0.0,7.0
partial_pooling,northing_block_buffered,100-200,27.0,1.8455760089247741,175.09998197908425,907,0.0,1.0
partial_pooling,northing_block_buffered,200-400,47.0,1.8188422178029986,291.32762900128535,1693,0.0,4.0
partial_pooling,northing_block_buffered,>400,26.0,1.7420582041405284,592.6641993364844,942,0.0,3.0
