record_type,scheme,model_code_identifier,comparator_code_identifier,minimum_support_per_lithology_m,minimum_absolute_observed_contrast,holes,lithology_pair_units,mean_absolute_contrast_error,absolute_contrast_error_ci_low,absolute_contrast_error_ci_high,mean_sign_agreement,sign_agreement_ci_low,sign_agreement_ci_high,paired_error_delta,paired_error_delta_ci_low,paired_error_delta_ci_high,weighting_hierarchy,role,directional_zero_tolerance_tgc_pct,limitation
model_summary,leave_one_hole_out,global_mean,,4.0,0.0,66,105,1.797945727798183,1.5331039992234747,2.073569902583808,0.0,0.0,0.0,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,coordinate_trend,,4.0,0.0,66,105,1.793599220036616,1.5359227261048634,2.063625329625701,0.48989898989898983,0.3787878787878788,0.601010101010101,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,idw,,4.0,0.0,66,105,1.8154516817746313,1.5627860941831315,2.0842596862289753,0.4595959595959595,0.3484848484848485,0.5707070707070707,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,lithology_only,,4.0,0.0,66,105,1.6508573460450566,1.3745766610819268,1.9455337882624517,0.6060606060606061,0.4949494949494949,0.7121212121212122,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,lithology_spatial,,4.0,0.0,66,105,1.563021526113613,1.2956957551233237,1.850085999184706,0.6616161616161615,0.5555555555555555,0.7626262626262625,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,geology_only,,4.0,0.0,66,105,1.5949040432392385,1.3257389603443095,1.8832825467756766,0.6515151515151515,0.5454545454545454,0.7525252525252525,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,partial_pooling,,4.0,0.0,66,105,1.5819594134173949,1.3230154393461497,1.8577885185970728,0.6262626262626262,0.5202020202020201,0.7272727272727273,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,leave_one_hole_out,lithology_only,global_mean,4.0,0.0,66,105,,,,,,,-0.14708838175312625,-0.36062459714789413,0.05842601433462685,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,leave_one_hole_out,lithology_only,idw,4.0,0.0,66,105,,,,,,,-0.16459433572957471,-0.3879909028743243,0.055772962969056226,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,global_mean,,4.0,0.0,66,105,1.797945727798183,1.5351751284863568,2.0784064151859383,0.0,0.0,0.0,,,,support within lithology; equal lithology pairs within hole; equal holes,additional post-analysis geology-informed descriptive validation,1e-12,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
