record_type,scheme,model_code_identifier,comparator_code_identifier,minimum_support_per_lithology_m,minimum_absolute_observed_contrast,holes,lithology_pair_units,mean_absolute_contrast_error,absolute_contrast_error_ci_low,absolute_contrast_error_ci_high,mean_sign_agreement,sign_agreement_ci_low,sign_agreement_ci_high,paired_error_delta,paired_error_delta_ci_low,paired_error_delta_ci_high,weighting_hierarchy,role,limitation
model_summary,leave_one_hole_out,global_mean,,4.0,0.0,66,105,1.797945727798183,1.5386844210974295,2.079145694912984,0.0,0.0,0.0,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,lithology_only,,4.0,0.0,66,105,1.6508573460450566,1.3761462290017579,1.9442740323609742,0.6060606060606061,0.49494949494949503,0.7121212121212122,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,geology_only,,4.0,0.0,66,105,1.5949040432392385,1.3308344801623724,1.8820755185141036,0.6515151515151515,0.5454545454545454,0.7525252525252525,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,partial_pooling,,4.0,0.0,66,105,1.5819594134173949,1.3279175345170333,1.8639696381689324,0.6262626262626262,0.5202020202020201,0.7323232323232323,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,idw,,4.0,0.0,66,105,1.8154516817746313,1.5645721977132752,2.0889730622476304,0.4595959595959595,0.3484848484848485,0.5707070707070708,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,leave_one_hole_out,lithology_only,global_mean,4.0,0.0,66,105,,,,,,,-0.14708838175312625,-0.36166126467199927,0.05887524361136331,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,leave_one_hole_out,lithology_only,idw,4.0,0.0,66,105,,,,,,,-0.16459433572957471,-0.39260430294348375,0.057502000839145744,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,global_mean,,4.0,0.0,66,105,1.797945727798183,1.5367808601529043,2.0751256707377697,0.045454545454545456,0.0,0.10606060606060606,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,lithology_only,,4.0,0.0,66,105,1.659217418558861,1.3793493764759823,1.9627004207259708,0.5429292929292928,0.43434343434343436,0.6489898989898989,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,geology_only,,4.0,0.0,66,105,1.6160914884229214,1.3433880422651352,1.9171531838541598,0.5555555555555555,0.4444444444444445,0.6616161616161617,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,partial_pooling,,4.0,0.0,66,105,1.5771260902977016,1.3072593583381351,1.862730287499311,0.601010101010101,0.4949494949494949,0.7020202020202021,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,idw,,4.0,0.0,66,105,1.7815111707880258,1.5277464776647258,2.046605083188901,0.5252525252525252,0.41414141414141414,0.6363636363636364,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,northing_block_buffered,lithology_only,global_mean,4.0,0.0,66,105,,,,,,,-0.13872830923932192,-0.3557330645857902,0.06915650740516138,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,northing_block_buffered,lithology_only,idw,4.0,0.0,66,105,,,,,,,-0.12229375222916485,-0.3575886640765519,0.09805367530368128,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,global_mean,,4.0,0.25,65,103,1.828568962852616,1.5698025044394286,2.1033748854942114,0.0,0.0,0.0,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,lithology_only,,4.0,0.25,65,103,1.6706387564482437,1.3912474351692006,1.972561452098792,0.6102564102564102,0.4974358974358974,0.7179487179487181,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,geology_only,,4.0,0.25,65,103,1.6191342842569474,1.3482598694182735,1.9120819685994943,0.6564102564102564,0.5487179487179488,0.7589743589743589,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,partial_pooling,,4.0,0.25,65,103,1.6102566620995156,1.3507348814428013,1.8878025217998193,0.6307692307692307,0.5230769230769231,0.7384615384615384,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,leave_one_hole_out,idw,,4.0,0.25,65,103,1.844646644851524,1.5930142633993518,2.1101828716145272,0.45128205128205123,0.3384615384615385,0.5641025641025641,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,leave_one_hole_out,lithology_only,global_mean,4.0,0.25,65,103,,,,,,,-0.1579302064043724,-0.3732909262900761,0.050884228989625316,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
paired_comparison,leave_one_hole_out,lithology_only,idw,4.0,0.25,65,103,,,,,,,-0.17400788840328024,-0.4070431110135183,0.051315625652870095,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,global_mean,,4.0,0.25,65,103,1.8285689628526158,1.5705515585769048,2.1050496173591515,0.046153846153846156,0.0,0.1076923076923077,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
model_summary,northing_block_buffered,lithology_only,,4.0,0.25,65,103,1.6861205536396648,1.401982406005795,1.9876673082210845,0.5461538461538461,0.4358974358974359,0.6538461538461539,,,,support within lithology; equal lithology pairs within hole; equal holes,reviewer-directed geology-informed descriptive validation,"within-hole logged-lithology contrasts; no hard-boundary, directional-continuity, or causal claim"
