method,pair_count_requested,seed_count,score_minimum,score_median,score_maximum,score_standard_deviation,fraction_negative,fraction_positive
legacy_all_pair_denominator,5000,11,-0.03426792920679245,-0.007836400534011245,0.03300553821010499,0.021675477564172617,0.7272727272727273,0.2727272727272727
same_supported_hole_pairs,5000,11,-0.0005779601789561717,0.0,3.1692897561774735e-05,0.0001752752290493678,0.18181818181818182,0.09090909090909091
within_hole_pair_ratio,5000,11,-0.0009324295652370918,0.0,0.001010370761154289,0.0004347369320218007,0.18181818181818182,0.09090909090909091
legacy_all_pair_denominator,10000,11,-0.04660915638243268,-0.0013156591212304392,0.05368559518835292,0.029874283718815873,0.5454545454545454,0.45454545454545453
same_supported_hole_pairs,10000,11,-0.0028518153800372037,0.00027615326507535176,0.0029897037681054783,0.0018452403642967602,0.45454545454545453,0.5454545454545454
within_hole_pair_ratio,10000,11,-0.002671674741333785,0.0004566281546392048,0.0029217190024820594,0.001628266431613408,0.45454545454545453,0.5454545454545454
legacy_all_pair_denominator,20000,11,-0.04326244673012858,-0.0047985860126162905,0.032548639792689515,0.020590112897360614,0.5454545454545454,0.45454545454545453
same_supported_hole_pairs,20000,11,-0.005216994325687008,0.004379853605219419,0.007075574834931486,0.0038648459428749843,0.2727272727272727,0.7272727272727273
within_hole_pair_ratio,20000,11,-0.0042029450921459155,0.0023718287493699197,0.008545691503665798,0.003585643796278643,0.2727272727272727,0.7272727272727273
legacy_all_pair_denominator,40000,11,-0.0383530381632291,-0.008348240102800553,0.018034172409660987,0.018171101430492748,0.5454545454545454,0.45454545454545453
same_supported_hole_pairs,40000,11,-0.0032079125325272795,0.0013146549234765992,0.00883752816992267,0.0035281321778429654,0.36363636363636365,0.6363636363636364
within_hole_pair_ratio,40000,11,-0.005112583408747096,0.0004077182191808415,0.00747461330082777,0.003279852412392256,0.45454545454545453,0.5454545454545454
legacy_all_pair_denominator,80000,11,-0.03299069732406368,-0.011938215177186517,0.008873599571460833,0.012214791724971615,0.7272727272727273,0.2727272727272727
same_supported_hole_pairs,80000,11,-0.009433656459858497,0.0012697757384206865,0.007250553860066344,0.004773220413880434,0.36363636363636365,0.6363636363636364
within_hole_pair_ratio,80000,11,-0.014791638731309842,-0.0016390550399278947,0.003865417343513644,0.005050276301536335,0.5454545454545454,0.45454545454545453
legacy_all_pair_denominator,160000,11,-0.02244444916537036,-0.011677108162228889,0.004091882552501258,0.009130506161175481,0.8181818181818182,0.18181818181818182
same_supported_hole_pairs,160000,11,-0.0047834691448847,0.002842040201286089,0.005607656323623478,0.0033389794936076727,0.2727272727272727,0.7272727272727273
within_hole_pair_ratio,160000,11,-0.006907311055551091,0.0012071332692182857,0.00387638431505255,0.002993227164273395,0.2727272727272727,0.7272727272727273
