scenario,selected_policy,count,selection_rate
covariance_dominant,geology_only,6,0.012
covariance_dominant,global_mean,69,0.138
covariance_dominant,regression_kriging,44,0.088
covariance_dominant,spatial_covariance,381,0.762
geology_only,geology_only,454,0.908
geology_only,global_mean,18,0.036
geology_only,regression_kriging,27,0.054
geology_only,spatial_covariance,1,0.002
label_noise,geology_only,86,0.172
label_noise,global_mean,5,0.01
label_noise,regression_kriging,377,0.754
label_noise,spatial_covariance,32,0.064
moderate_covariance,geology_only,210,0.42
moderate_covariance,global_mean,65,0.13
moderate_covariance,regression_kriging,187,0.374
moderate_covariance,spatial_covariance,38,0.076
null,geology_only,15,0.03
null,global_mean,463,0.926
null,spatial_covariance,22,0.044
strong_covariance,geology_only,79,0.158
strong_covariance,global_mean,1,0.002
strong_covariance,regression_kriging,418,0.836
strong_covariance,spatial_covariance,2,0.004
