category,metric,value,unit,reporting_status,source,limitation
all_controls,count,373,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
all_controls,insertion_frequency,1 in 10,field samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
crm,count,93,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
blank,count,94,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
coarse_duplicate,count,93,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
pulp_duplicate,count,93,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-08,certified_grade,0.39,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-08,certified_standard_deviation,0.06,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-08,count,18,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-08,action_limit_failures,0,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-08,observed_mean,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
