rotation_deg,origin_index,origin_fraction,buffer_multiplier,buffer_m,n_blocks,n_effective_blocks,n_predictions,n_test_intervals,n_test_holes,equal_block_mean_delta,median_block_delta,sign_concordance,leave_one_block_out_min,leave_one_block_out_max,block_resample_ci_lower_95,block_resample_ci_upper_95,block_resampling_replicates,inference_label
0.0,1,-0.4,0.5,55.9456012,5,5,3542,3542,100,-0.05106601304961975,-0.05427658300413074,1.0,-0.060093363212915585,-0.044390559062865764,-0.0683265055681606,-0.03068460063951415,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,1,-0.4,1.0,111.8912024,5,5,3542,3542,100,-0.03177475167250567,-0.02906862335337168,0.8,-0.046109815670558774,-0.020759315958169433,-0.06140872567771294,-0.0005675263679785214,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,1,-0.4,1.5,167.8368036,5,5,3542,3542,100,-0.03324261965616602,-0.030184736473834572,0.8,-0.04978713075594465,-0.017970666173818706,-0.06887726191985451,0.004834584252891361,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,2,-0.2,0.5,55.9456012,5,5,3542,3542,100,-0.051242984194254104,-0.06670854632165346,1.0,-0.0601201611864578,-0.043948394581642514,-0.07271361181899012,-0.028671689509291554,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,2,-0.2,1.0,111.8912024,5,5,3542,3542,100,-0.03767444867490113,-0.030003424859770256,0.8,-0.051066075439247016,-0.024669014302453163,-0.07073064984532076,-0.005225590526952662,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,2,-0.2,1.5,167.8368036,5,5,3542,3542,100,-0.02745399370541004,-0.030711058469711894,0.6,-0.03904403151115576,-0.010855770290533917,-0.06263176846094805,0.006188555167107879,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,3,0.0,0.5,55.9456012,5,5,3542,3542,100,-0.05146104946392693,-0.07461335937065217,0.8,-0.0655129438109695,-0.041937970822694126,-0.08548747339924771,-0.017268038463312152,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,3,0.0,1.0,111.8912024,5,5,3542,3542,100,-0.03526179105873926,-0.008500526025641442,0.6,-0.046061917883291115,-0.02074645587278018,-0.07428239161518464,0.003758809497706128,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,3,0.0,1.5,167.8368036,5,5,3542,3542,100,-0.018803340766612296,-0.007862628162131458,0.6,-0.033634029796395626,0.002441089359665527,-0.06541368802788675,0.018141070930426936,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,4,0.2,0.5,55.9456012,5,5,3542,3542,100,-0.05418857075422814,-0.07545362170262493,0.8,-0.06972933090435224,-0.041525537836889836,-0.08849177668077468,-0.014939917990479579,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
