basis_id,lag_fraction,pair_sample_fraction,pair_count_requested,pair_count_used,eligible_hole_pairs,scenario_label,n_simulations,passes,pass_rate,wilson_lower_95,wilson_upper_95,exact_lower_95,exact_upper_95,evaluation_threshold,role,portability_claim
1,0.1,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,373,0.9325,0.9035733345645931,0.9531985308362403,0.9033080931469477,0.9550491988076332,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.1,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,373,0.9325,0.9035733345645931,0.9531985308362403,0.9033080931469477,0.9550491988076332,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.1,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,377,0.9425,0.9151991622718807,0.9613824572422669,0.9149684047021894,0.9632044804907304,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.2,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,279,0.6975,0.6507820078218485,0.7404606359161043,0.6498914828240092,0.7421575064475674,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.2,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,284,0.71,0.6637014956653163,0.7523033407142791,0.6628405304967694,0.7540203650726717,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.2,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,271,0.6775,0.6301910935839934,0.7214320419273312,0.629253790573229,0.723095608467164,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.3,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,205,0.5125,0.4636306970848221,0.5611314955568205,0.4623299799117476,0.5624837665170636,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.3,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,205,0.5125,0.4636306970848221,0.5611314955568205,0.4623299799117476,0.5624837665170636,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
1,0.3,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,201,0.5025,0.45371132720791196,0.5512411113204164,0.4523898712281144,0.5525728784116302,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.1,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,396,0.99,0.9745734353473804,0.996104516205009,0.9745951990926638,0.9972688040287574,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.1,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,399,0.9975,0.9859767149241766,0.9995585522131983,0.9861502300379236,0.9999367074830952,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.1,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,399,0.9975,0.9859767149241766,0.9995585522131983,0.9861502300379236,0.9999367074830952,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.2,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,363,0.9075,0.8751014146161221,0.9321460655014261,0.8747566869033434,0.9340340574093116,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.2,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,362,0.905,0.8722916530824945,0.9300033885067254,0.8719393540052778,0.9318932844768989,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.2,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,369,0.9225,0.892095045964364,0.9448670653231555,0.8917970653118859,0.9467373415613488,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.3,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,285,0.7125,0.6662901779980862,0.7546670969098378,0.6654351555247309,0.7563880864633609,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.3,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,288,0.72,0.6740660138899559,0.7617485766029535,0.6732288822484922,0.7634813240257147,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
2,0.3,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,299,0.7475,0.7027083556965948,0.7875830586079285,0.7019376619265602,0.7893569872988965,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.1,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,388,0.97,0.9483014642909042,0.9827569790348569,0.9481827845693604,0.9844044470002721,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.1,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,390,0.975,0.9545984121283544,0.986364908254064,0.9545057207012199,0.9879478798868141,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.1,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,390,0.975,0.9545984121283544,0.986364908254064,0.9545057207012199,0.9879478798868141,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.2,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,328,0.82,0.7793624469518832,0.8545496846741669,0.7787743019040414,0.8564124164810146,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.2,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,325,0.8125,0.7713439706023679,0.8477108454386968,0.7707363543001372,0.8495661511866828,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.2,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,332,0.83,0.7900908679413299,0.8636310177980344,0.7895289384443708,0.8655028091051096,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.3,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,267,0.6675,0.6199313395835853,0.7118820418144254,0.6189708794307889,0.7135285071047677,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.3,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,258,0.645,0.5969304612084719,0.6903109734345821,0.5959184462378325,0.6919179646932168,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
3,0.3,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,248,0.62,0.5715045437377642,0.6662125056220047,0.5704361164643008,0.6677741634894265,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.1,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,392,0.98,0.96103658423074,0.9898316132083353,0.9609737232883798,0.9913268296308729,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.1,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,394,0.985,0.9676653664151732,0.9931077080805591,0.9676387055192373,0.9944758904954196,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.1,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,396,0.99,0.9745734353473804,0.996104516205009,0.9745951990926638,0.9972688040287574,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.2,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,325,0.8125,0.7713439706023679,0.8477108454386968,0.7707363543001372,0.8495661511866828,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.2,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,328,0.82,0.7793624469518832,0.8545496846741669,0.7787743019040414,0.8564124164810146,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.2,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,331,0.8275,0.7874046544953168,0.8613647927157191,0.7868361427635071,0.8632344149993472,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.3,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,262,0.655,0.6071390167491942,0.6999121720071738,0.6061498222178279,0.701536871101427,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.3,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,268,0.67,0.622494095885007,0.7142717240413322,0.6215394107701644,0.7159224913089006,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
4,0.3,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,275,0.6875,0.6404744504377174,0.7309584391869214,0.639560458130454,0.7326388132171725,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.1,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,388,0.97,0.9483014642909042,0.9827569790348569,0.9481827845693604,0.9844044470002721,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.1,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,390,0.975,0.9545984121283544,0.986364908254064,0.9545057207012199,0.9879478798868141,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.1,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,389,0.9725,0.9514345181143852,0.9845763637397046,0.951328451091911,0.9861938697657967,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.2,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,301,0.7525,0.7079392288053334,0.7922570625558467,0.7071807630306608,0.7940381191299267,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.2,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,306,0.765,0.7210494588154521,0.8039090251873708,0.7203217752600526,0.8057073571113367,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.2,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,303,0.7575,0.7131775779269679,0.7969235904908692,0.7124313881178147,0.7987116531130092,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.3,0.25,5000,5000,4850,within_context_continuity_strong_2nn,400,247,0.6175,0.5689692933715043,0.6637953174599363,0.5678952745697443,0.665352362954489,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.3,0.5,10000,10000,4850,within_context_continuity_strong_2nn,400,250,0.625,0.5765790058795889,0.671042920536837,0.5755217886614248,0.67261376127048,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
5,0.3,1.0,20000,20000,4850,within_context_continuity_strong_2nn,400,258,0.645,0.5969304612084719,0.6903109734345821,0.5959184462378325,0.6919179646932168,0.03928799971878239,basis_lag_pair_sampling_sensitivity_only,False
